title,price,location,area,time
"- Bán lô đất đường Lê Văn Miến nối dài song song mặt biển Nguyễn Tất Thành sát khu vui chơi giải trí của Nhật. Gần công viên biển Nguyễn An Ninh. - Diện tích: 160m2. - Kích thước: 10x16m. - Hướng: Đông Bắc. - Thuận lợi: Sát công viên biển Nguyễn An Ninh, khu vui chơi giải trí của...",Thỏa thuận,"
Liên Chiểu, Đà Nẵng
",160 m²,"
05/04/2019
"
"Bán lô đất đường Kinh Dương Vương nối dài, quận Liên Chiểu, Đà Nẵng Đường 15m lề 6m Vị trí gần đường Nguyễn Chánh, ngay vị trí các quán nhậu và cafe. Cách biển Nguyễn Tất Thành chỉ 200m Hướng tây nam Diện tích đất 187.5m2 (7.5mx25m) Giá bán 47 triệu/m2 Liên hệ xem đất thực ...",47 triệu/m²,"
Liên Chiểu, Đà Nẵng
",187.5 m²,"
07/04/2019
"
"Cần tiền nên muốn bán nhanh đất kiệt 342, Nguyễn Lương Bằng, sau lưng dự án Pandora đường Phan Văn Định, đối diện khu công nghiệp Hoà Khánh. Cách đường chính 20m. Kiệt 2.5m thoáng mát, sạch sẽ. Diện tích đất: 70.8m2. Hướng: Đông Nam. Giá bán: 1.750 tỷ. LH: 0985.519.848....",1.75 tỷ,"
Liên Chiểu, Đà Nẵng
",70.8 m²,"
06/04/2019
"
"Cần ra đi 2 lô đôi Phan Văn Đạt, vị trí đất đẹp thông ra đường Nguyễn Lương Bằng. Gần chợ khu CN Hoà Khánh v.. Vv Có thể bán 1 lô nha, giá đầu tư cho anh em ạ. - DT 443,5m2 (1 lô 215,9m2). - Hướng Đông Nam. - Giá: 24,5tr/m2 thôi ạ. Quá bèo với đường 7m5. - Lh 0931444425 để làm việc CC nha....",24.5 triệu/m²,"
Liên Chiểu, Đà Nẵng
",443.5 m²,"
Liên hệ: Bùi Ngọc Hải0931444425
06/04/2019
"
"Bán đất thuộc khu J258, Phường Hoà Khánh Bắc, sau lưng khu du lịch Xuân Thiểu, quận Liên Chiểu. Diện tích: 70m2  Giá: 3.3 tỷ  Liên hệ chính chủ: 0905164461...",3.3 tỷ,"
Liên Chiểu, Đà Nẵng
",70 m²,"
06/04/2019
"
"Cần ra đi 2 lô đôi đường 7m5 Phan Văn Đạt, gần QL1A Nguyễn Lương Bằng, gần cổng KCN Hoà Khánh, có thể XD kinh doanh quán ăn, nhà nghỉ,.... Có thể bán 1 lô nha, cả 2 lô đều nở hậu!! - DT 443,5m2 (1 lô 215,9m2). - Hướng Đông Nam. - Giá: 24,5tr/m2. - LH 0934940340....",24.5 triệu/m²,"
Liên Chiểu, Đà Nẵng
",443.5 m²,"
06/04/2019
"
"Cần bán lô đất khu J258 sát vách khu du lịch Xuân Thiều của Nhật. Diện tích 89.4m2 (ngang 6m). Hướng Đông Bắc. Giá thỏa thuận, vui lòng gọi 0907 088 567 hoặc 0969 088 567 để thương lượng....",3.48 tỷ,"
Liên Chiểu, Đà Nẵng
",89.4 m²,"
06/04/2019
"
"Cần bán lô đất đường Phan Văn Thuật, thông từ Nguyễn Chánh qua Nguyễn An Ninh. - View công viên, hướng Đông Bắc nhìn ra biển mát mẻ. - Đường 7m5 lề 4m thông thoáng. - Diện tích: 187.5m2, bề ngang 7m5 thích hợp xây dựng nhà hàng khách sạn, biệt thự. Đất biển nhưng giá cực kỳ rẻ, chỉ 47tr/m2. Vui lòng gọi: 0907 088 567 hoặc 0969 088 567 để thương lượng. Cám ơn!...",47 triệu/m²,"
Liên Chiểu, Đà Nẵng
",187.5 m²,"
Liên hệ: Dũng Hoàng Đình0969088567
06/04/2019
"
"Gia đình có việc cần bán nhanh lô đất đường Nguyễn Chánh, tại số 160. Vị trí cách biển Xuân Thiều - Nguyễn Tất Thành 150 mét, bên cạnh dự án khu vui chơi, giải trí, công viên nước & khách sạn tập đoàn Mikazuki Nhật Bản đã khởi công hôm nay, xung quanh lô đất là nhà hàng, khách sạ...",50.5 triệu/m²,"
Liên Chiểu, Đà Nẵng
",360 m²,"
05/04/2019
"
"Cần bán đất Phan Văn Trường gần khu du lịch Xuân Thiều, đường thông thẳng ra biển. DT 5 x 21.5m = 107.5m2. Hướng: Tây Bắc. Cách biển Nguyễn Tất Thành 200m. LH chính chủ: 0343686868 (Toàn)....",Thỏa thuận,"
Liên Chiểu, Đà Nẵng
",107.5 m²,"
05/04/2019
"
"Cần tiền nên muốn bán nhanh đất kiệt 342, Nguyễn Lương Bằng, sau lưng dự án Pandora đường Phan Văn Định, đối diện khu công nghiệp Hoà Khánh. Cách đường chính 20m. Kiệt 2.5m thoáng mát, sạch sẽ. Diện tích đất: 70.8m2. Hướng: Đông Nam. Giá bán: 1.750 tỷ. LH: 0985.519.848....",1.75 tỷ,"
Liên Chiểu, Đà Nẵng
",70.8 m²,"
05/04/2019
"
"DT 234m2 đất kiệt ô tô Bùi Chát, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng. Bán nhanh 3 lô liền kề đất kiệt Bùi Chát (ô tô đỗ trước nhà). Tổng DT 234m2. Ngang mặt tiền: 12.81m. Ngang mặt sau: 13.11m. Dài 18m. Giá 4 tỷ 8. Xem đất gọi trước 10P. 0901126968....",4.8 tỷ,"
Liên Chiểu, Đà Nẵng
",234 m²,"
05/04/2019
"
Lô góc DT lớn khu bô đội 532 Phạm Như Xương. Giá siêu đầu tư. Đường 7m5 và 5m5. Diện tích: 184.5m2 (9.5x20m). Giá: 4.5 tỷ. LH 0903 534 225....,4.5 tỷ,"
Liên Chiểu, Đà Nẵng
",184.5 m²,"
05/04/2019
"
"Thông tin lô đất cần bán như sau: Cần bán nhanh lô đất đường Đông Kinh Nghĩa Thục thuộc phường Hòa Khánh Bắc, trung tâm quận Liên Chiểu. Diện tích: 140m2 (mặt tiền 5m).  Lòng đường 7.5m, vỉa hè mỗi bên 4.5m, thuân tiện trong việc mua bán, mở quán kinh doanh. Nằm trong khu vực đôn...",9.15 tỷ,"
Liên Chiểu, Đà Nẵng
",140 m²,"
05/04/2019
"
Cần bán lô đất Phan Văn Thuật. Diện tích: 318m2. Hướng Đông Bắc. Giá LH: 093 2552 220....,Thỏa thuận,"
Liên Chiểu, Đà Nẵng
",318 m²,"
05/04/2019
"
"Bàu Mạc 11 đang chào bán giá 3.3 tỷ. Chủ đang cần tiền gấp bán nhanh trong tuần này Bàu Mạc 10 giá 3.2 tỷ làm việc chính chủ. - Diện tích 90m2. - Hướng Tây Bắc. - Khu vực dân cư tri thức cao, giáo viên và quân đội. - Gần biển và song song đối lưng đường Nguyễn Chánh. Liên hệ Quý ...",3.2 tỷ,"
Liên Chiểu, Đà Nẵng
",90 m²,"
05/04/2019
"
"Lô đất 3 mặt tiền cực hiếm tại Liên Chiểu - Đà Nẵng nơi đang phát triển cực nhanh, đặc biệt là logistic. Lô đất 3 mặt tiền đường 10.5m nằm trung tâm kết nối thông ra 3 tuyến Mê Linh - Nguyễn Lương Bằng - Nguyễn Tất Thành nối dài. Lô đất cực vip với những giá trị tuyệt vời: - Trun...",16 triệu/m²,"
Liên Chiểu, Đà Nẵng
",508 m²,"
05/04/2019
"
"Bán lô đất khu gia đình quân đội, Hòa Khánh Bắc, Liên Chiễu, Đà Nẵng. Đường 5m5, lề 3m. Kẹp cống sát bên công viên. Thích hợp cho việc ở hoặc đầu tư sinh lời. DT: 91m2 ngang 5m. Hướng Đông Nam. Giá: 2,5 tỷ. LH: 0905.102.133. Mong gặp khách thiện chí!...",2.5 tỷ,"
Liên Chiểu, Đà Nẵng
",91 m²,"
05/04/2019
"
"Cần bán gấp lô đất biệt thự Xuân Thiều. Lô đất ngay cạnh sân golf, resort Nhật Bản, hệ thống siêu thị và tòa nhà công nghệ 18 tầng, Đặc điểm: - 4 lô liền kề đường 5.5m. Diện tích 270m2/lô. (có bán lẻ). - 1 lô 2 mặt tiền đường 7.5m và 5.5m. - 1 lô đường 7.5m. Vị trí: Bên cạnh resort Xuân Thiều Đà Nẵng, nơi Nhật Bản đang đầu tư, khai thác du lịch biển Nguyễn Tất Thành. Được bao b...",Thỏa thuận,"
Liên Chiểu, Đà Nẵng
",270 m²,"
Liên hệ: Lâm Mộc Châu0886368767
05/04/2019
"
"2 mặt kiệt ô tô đậu đỗ và quay đầu, cách đường chính chỉ 40m, cách Nguyễn Lương Bằng chỉ 100m. Diện tích 76m2, ngang 4.2m. Khu sầm uất, tập trung đông công nhân, cán bộ sinh viên học tập và làm việc - xây ở hoặc cho thuê quá thuận tiện. Giá chính chủ: 2.2 tỷ. Nhanh tay alo sở hữu...",2.2 tỷ,"
Liên Chiểu, Đà Nẵng
",76 m²,"
05/04/2019
"
