title,author,time,content
Code ví dụ Spring Boot Inject bean với ApplicationContextAware,cuongth,"Tháng Mười Một 1, 2018","Code ví dụ Spring Boot Inject bean với ApplicationContextAware (Xem lại: Inject Spring Bean vào các class không phải là @Component) ApplicationContextAware là một interface cho phép truy cập tới Spring Bean, các file resource. Các công nghệ sử dụng: Spring Boot Maven JDK 1.8 Eclipse + Spring Tool Suite Tạo Spring Boot Project Không cần Read more about Code ví dụ Spring Boot Inject bean với ApplicationContextAware[…]"
Inject Spring Bean vào các class không phải là @Component,cuongth,"Tháng Mười Một 1, 2018","Inject Spring Bean vào các class không phải là @Component. (Xem thêm: Code ví dụ Spring Boot Inject bean ApplicationContextAware) Các bean quản lý bởi Spring Trong Spring, các class (bean) được quản lý bởi Spring là các class được đánh dấu annotation (@Component, @Service, @Repository) hoặc được cấu hình trong file .xml với thẻ <bean> Read more about Inject Spring Bean vào các class không phải là @Component[…]"
Phân biệt Heap memory và Stack memory trong java,cuongth,"Tháng Mười Một 1, 2018","Phân biệt Heap memory và Stack memory trong java. Bộ nhớ Heap – Heap Memory Heap memory là bộ nhớ được sử dụng bởi Java Runtime để cấp phát bộ nhớ cho các đối tượng (object) và String. Bất kỳ khi nào có một đối tượng được tạo, nó sẽ được tạo lưu ở bộ Read more about Phân biệt Heap memory và Stack memory trong java[…]"
Hướng dẫn cài đặt Java 8 trên Windows,cuongth,"Tháng Chín 20, 2018","Hướng dẫn cài đặt Java 8 trên Windows (Xem thêm: Cài đặt Java trên Linux/Ubuntu) 1. Download và cài đặt JDK Download bản cài đặt JDK 8 tại https://www.oracle.com/…/jdk8-downloads-2133151.html (Các bạn cũng có thể download các bản JDK khác tại https://www.oracle.com/technetwork/java/javase/downloads/index.html) Chọn Accept License Agreement Chọn bản cài đặt trên windows (Windows x86 hoặc Windows x64), ở đây Read more about Hướng dẫn cài đặt Java 8 trên Windows[…]"
Code ví dụ Java đặt lịch với Quartz Scheduler,cuongth,"Tháng Chín 15, 2018","Code ví dụ Java đặt lịch với Quartz Scheduler. (Xem thêm: Code ví dụ Java đặt lịch với Timer, TimerTask) (Xem thêm: Code ví dụ Spring Boot tạo lịch với annotation @Scheduled) 1. Quartz Scheduler là gì? Quartz là một thư viện, một framework mã nguồn mở cho phép bạn lên lịch các công việc theo một Read more about Code ví dụ Java đặt lịch với Quartz Scheduler[…]"
"Code ví dụ Java đặt lịch với Timer, TimerTask",cuongth,"Tháng Chín 15, 2018","Code ví dụ Java đặt lịch với Timer, TimerTask. 1. Timer và TimerTask trong Java Timer và TimerTask là hai class trong package java.util được sử dụng để lên lịch cho một công việc và chạy nó trong background với 1 thread. TimerTask là công việc được thực thi còn Timer là lịch trình thực Read more about Code ví dụ Java đặt lịch với Timer, TimerTask[…]"
Code ví dụ Spring Boot tạo lịch với annotation @Scheduled,cuongth,"Tháng Chín 15, 2018","Code ví dụ Spring Boot tạo lịch với annotation @Scheduled. (Xem lại: Hướng dẫn tạo lịch (Task, Scheduler) với @Schedule trong Spring) Các công nghệ sử dụng: Spring Boot Maven JDK 1.8 Eclipse + Spring Tool Suite Tạo Spring Boot Project Không cần chọn thêm thư viện nào cả. Cấu trúc Project File main chạy ứng Read more about Code ví dụ Spring Boot tạo lịch với annotation @Scheduled[…]"
"Hướng dẫn tạo lịch (Task, Scheduler) với @Schedule trong Spring",cuongth,"Tháng Chín 15, 2018","Hướng dẫn tạo lịch (Task, Scheduler) với @Schedule trong Spring. (Xem thêm: Code ví dụ Spring Boot tạo lịch với annotation @Scheduled) Trong bài này mình sẽ giới thiệu chức năng tạo lịch (Schedule) với Spring. Đôi khi viết chương trình chúng ta sẽ gặp những tình hướng thực hiện các chức năng chạy theo 1 Read more about Hướng dẫn tạo lịch (Task, Scheduler) với @Schedule trong Spring[…]"
Cron expression là gì? Hướng dẫn cú pháp cron expression,cuongth,"Tháng Chín 15, 2018","Cron expression là gì? Hướng dẫn cú pháp cron expression (Xem thêm: Code ví dụ Spring Boot tạo lịch với annotation @Scheduled) Cron expression là gì? Cron expression là một đoạn text với định dạng gồm 6 hoặc 7 trường để xác định lịch chạy cho một phương thức, hàm, ứng dụng. Cron expression được sử Read more about Cron expression là gì? Hướng dẫn cú pháp cron expression[…]"
Code ví dụ Java Elasticsearch với Spring Data Jest,cuongth,"Tháng Chín 14, 2018","Code ví dụ Java Elasticsearch với Spring Data Jest (Xem lại: Hướng dẫn Elasticsearch) Các công nghệ sử dụng: Spring Boot Maven JDK 1.8 Eclipse + Spring Tool Suite Spring Data Elasticsearch Khởi tạo Index, Type Elasticsearch Khi Spring Data kết nối tới Elasticsearch, nếu các Index, Type tương ứng chưa tồn tại thì nó sẽ Read more about Code ví dụ Java Elasticsearch với Spring Data Jest[…]"
