hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
The Godfrey Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,boston,4380 ,4.5,2018/10/05,2018/10/09,$379,HotelQuickly,7,"Free Wifi,Room Service,Hotel website"
Bostonian Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d114150-Reviews-Bostonian_Boston-Boston_Massachusetts.html,boston,1981 ,4.5,2018/10/05,2018/10/09,$519,HotelQuickly,6,"Free Wifi,Restaurant"
Taj Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d89615-Reviews-Taj_Boston-Boston_Massachusetts.html,boston,3145 ,4,2018/10/05,2018/10/09,$312,Hotels.com,0,"Free Wifi,Restaurant,Hotel website"
Omni Parker House,http://www.tripadvisor.com/Hotel_Review-g60745-d89599-Reviews-Omni_Parker_House-Boston_Massachusetts.html,boston,8813 ,4,2018/10/05,2018/10/09,$295,Agoda.com,6,"Restaurant,Room Service,Hotel website"
Revere Hotel Boston Common,http://www.tripadvisor.com/Hotel_Review-g60745-d89600-Reviews-Revere_Hotel_Boston_Common-Boston_Massachusetts.html,boston,4714 ,4.5,2018/10/05,2018/10/09,$529,HotelQuickly,0,"Free Wifi,Pool,Hotel website"
Hyatt Regency Boston Harbor,http://www.tripadvisor.com/Hotel_Review-g60745-d89620-Reviews-Hyatt_Regency_Boston_Harbor-Boston_Massachusetts.html,boston,2906 ,4,2018/10/05,2018/10/09,$360,HotelQuickly,7,"Free Wifi,Restaurant"
"The Westin Copley Place, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d89617-Reviews-The_Westin_Copley_Place_Boston-Boston_Massachusetts.html,boston,4378 ,4.5,2018/10/05,2018/10/09,$352,Hotels.com,5,"Restaurant,Room Service,Hotel website"
Lenox Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,boston,3616 ,4.5,2018/10/05,2018/10/09,$645,Agoda.com,5,"Free Wifi,Restaurant"
Hyatt Regency Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d111441-Reviews-Hyatt_Regency_Boston-Boston_Massachusetts.html,boston,4404 ,4,2018/10/05,2018/10/09,$378,HotelQuickly,7,"Free Wifi,Pool,Hotel website"
Colonnade Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d94371-Reviews-Colonnade_Hotel-Boston_Massachusetts.html,boston,3598 ,4.5,2018/10/05,2018/10/09,$374,Agoda.com,5,"Free Wifi,Pool"
Copley Square Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d111421-Reviews-Copley_Square_Hotel-Boston_Massachusetts.html,boston,2172 ,4.5,2018/10/05,2018/10/09,$405,Agoda.com,5,"Free Wifi,Restaurant,Hotel website"
The Verb Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d6485213-Reviews-The_Verb_Hotel-Boston_Massachusetts.html,boston,3045 ,4.5,2018/10/05,2018/10/09,$313,Agoda.com,6,"Free Wifi,Pool,Hotel website"
Hilton Boston Downtown / Faneuil Hall,http://www.tripadvisor.com/Hotel_Review-g60745-d94326-Reviews-Hilton_Boston_Downtown_Faneuil_Hall-Boston_Massachusetts.html,boston,2314 ,4,2018/10/05,2018/10/09,$355,HotelQuickly,5,"Restaurant,Room Service,Hotel website"
Hilton Garden Inn Boston Logan Airport,http://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html,boston,1185 ,4.5,2018/10/05,2018/10/09,$287,Agoda.com,6,"Free Wifi,Free Parking,Hotel website"
Loews Boston Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d321151-Reviews-Loews_Boston_Hotel-Boston_Massachusetts.html,boston,1886 ,4.5,2018/10/05,2018/10/09,$459,Hotels.com,6,"Free Wifi,Restaurant,Hotel website"
"Fairmont Copley Plaza, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d111444-Reviews-Fairmont_Copley_Plaza_Boston-Boston_Massachusetts.html,boston,3615 ,4.5,2018/10/05,2018/10/09,$509,Hotels.com,6,"Restaurant,Room Service,Hotel website"
Boston Harbor Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html,boston,2116 ,4.5,2018/10/05,2018/10/09,$546,Booking.com,0,"Free Wifi,Restaurant"
"Battery Wharf Hotel, Boston Waterfront",http://www.tripadvisor.com/Hotel_Review-g60745-d1201116-Reviews-Battery_Wharf_Hotel_Boston_Waterfront-Boston_Massachusetts.html,boston,1841 ,4.5,2018/10/05,2018/10/09,$307,Agoda.com,5,"Restaurant,Room Service"
enVision Hotel Boston - Longwood,http://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html,boston,670 ,4.5,2018/10/05,2018/10/09,$354,HotelQuickly,5,"Free Wifi,Fitness center"
"The Langham, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d114149-Reviews-The_Langham_Boston-Boston_Massachusetts.html,boston,2616 ,4.5,2018/10/05,2018/10/09,$477,Hotels.com,5,"Free Wifi,Pool,Hotel website"
YOTEL Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d12223452-Reviews-YOTEL_Boston-Boston_Massachusetts.html,boston,441 ,4,2018/10/05,2018/10/09,$419,Agoda.com,0,"Free Wifi,Restaurant,Hotel website"
W Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d1486034-Reviews-W_Boston-Boston_Massachusetts.html,boston,1928 ,4.5,2018/10/05,2018/10/09,$424,Agoda.com,6,"Restaurant,Room Service,Hotel website"
The Westin Boston Waterfront,http://www.tripadvisor.com/Hotel_Review-g60745-d595373-Reviews-The_Westin_Boston_Waterfront-Boston_Massachusetts.html,boston,2965 ,4,2018/10/05,2018/10/09,$353,Hotels.com,5,"Pool,Restaurant,Hotel website"
Club Quarters Hotel in Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d94399-Reviews-Club_Quarters_Hotel_in_Boston-Boston_Massachusetts.html,boston,2259 ,4,2018/10/05,2018/10/09,$352,Agoda.com,5,"Free Wifi,Restaurant,Hotel website"
DoubleTree by Hilton Hotel Boston - Downtown,http://www.tripadvisor.com/Hotel_Review-g60745-d217550-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Downtown-Boston_Massachusetts.html,boston,1783 ,4,2018/10/05,2018/10/09,$326,HotelQuickly,0,"Free Wifi,Restaurant,Hotel website"
"The Liberty, A Luxury Collection Hotel",http://www.tripadvisor.com/Hotel_Review-g60745-d647006-Reviews-The_Liberty_A_Luxury_Collection_Hotel-Boston_Massachusetts.html,boston,812 ,4,2018/10/05,2018/10/09,$509,Agoda.com,0,"Free Wifi,Restaurant,Hotel website"
Residence Inn by Marriott Boston Back Bay/Fenway,http://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html,boston,1837 ,4.5,2018/10/05,2018/10/09,$328,Agoda.com,6,"Free Wifi,Breakfast included,Hotel website"
Kimpton Nine Zero Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d234752-Reviews-Kimpton_Nine_Zero_Hotel-Boston_Massachusetts.html,boston,2933 ,4.5,2018/10/05,2018/10/09,$480,HotelQuickly,5,"Free Wifi,Restaurant"
DoubleTree Suites by Hilton Boston-Cambridge,http://www.tripadvisor.com/Hotel_Review-g60745-d111422-Reviews-DoubleTree_Suites_by_Hilton_Boston_Cambridge-Boston_Massachusetts.html,boston,2010 ,4,2018/10/05,2018/10/09,$392,Agoda.com,0,"Free Wifi,Pool,Hotel website"
Four Seasons Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html,boston,2029 ,4.5,2018/10/05,2018/10/09,$830,Hotels.com,5,"Free Wifi,Pool,Hotel website"
